bubble_sort, bubble_sort_ja_ordenado, bubble_sort_inverso, merge_sort, merge_sort_ja_ordenado, merge_sort_inverso, quickSort, quickSort_ja_ordenado, quickSort_inverso
142000,43863.765625,46619.910156,48719.488281,44.467667,21.847000,-0.013000,15.480332,8.321000,8.292000
143000,47774.980469,47482.062500,49302.835938,30.687668,62.958000,-0.017000,11.522000,17.679001,17.596001
144000,43548.019531,44481.523438,45981.332031,37.322666,21.933001,-0.008000,14.364334,8.428000,8.341000
145000,42933.472656,44223.378906,48156.132812,36.040333,49.563999,-0.018000,13.499333,20.139000,21.792000
146000,44279.750000,47253.531250,44267.554688,22.532999,59.537998,-0.024000,8.592334,25.708000,23.034000
147000,49890.175781,50646.406250,44143.933594,40.660999,22.263000,-0.012000,14.866333,8.558000,8.637000
148000,48213.152344,44814.757812,46530.675781,26.206335,55.528999,-0.020000,9.983666,24.841999,24.042999
149000,50221.546875,49535.210938,52411.183594,34.301666,23.596001,-0.013000,12.841332,8.716000,8.708000
150000,51681.605469,60275.953125,58325.062500,48.454334,62.988998,-0.023000,17.998667,24.690001,25.761000
151000,54246.437500,54020.812500,51184.042969,34.608665,23.275999,-0.011000,13.197333,9.023000,8.781000
152000,51485.890625,47863.667969,51132.664062,43.988331,45.091000,-0.016000,14.815333,17.844999,17.077999
153000,55815.949219,58069.562500,51925.558594,47.662663,66.653000,-0.024000,17.476999,20.975000,20.464001
154000,50247.042969,62336.972656,52395.332031,29.349335,23.693001,-0.012000,9.304334,8.908000,8.843000
155000,55671.160156,63482.410156,53078.308594,43.691334,25.250999,-0.017000,16.225334,9.207000,9.301000
156000,58391.503906,56367.933594,56421.558594,35.290001,54.285999,-0.019000,13.506332,20.402000,20.656000
157000,58379.281250,58805.316406,65356.460938,38.904999,23.728001,-0.012000,13.908666,9.119000,9.052000
158000,62774.515625,53536.507812,44009.750000,56.422668,24.122000,-0.013000,23.299332,9.110000,11.297000
159000,43410.082031,49251.062500,47882.117188,29.602335,64.957001,-0.024000,11.316667,38.386002,22.677999
160000,52397.667969,45663.847656,55827.687500,24.151331,27.738001,-0.010000,9.177334,9.759000,9.212000
161000,48374.156250,47609.160156,45547.906250,25.442667,24.586000,-0.011000,9.637000,9.262000,9.257000
162000,57556.328125,54231.320312,51323.765625,46.775665,64.913002,-0.020000,15.267334,20.514999,19.146000
163000,50223.855469,49594.667969,55496.484375,37.833332,24.806000,-0.010000,13.528333,10.298000,9.291000
164000,58093.058594,62425.851562,69904.734375,24.817999,61.104000,-0.018000,10.646334,23.657000,23.302000
165000,63354.871094,72636.671875,68986.703125,38.348667,66.583000,-0.023000,14.316333,19.749001,19.577000
166000,74272.976562,72116.500000,63668.394531,50.048664,58.478001,-0.018000,19.531666,21.617001,21.452999
167000,66868.914062,64958.632812,68559.640625,39.480331,75.692001,-0.021000,17.712000,25.351000,24.223000
168000,67864.960938,61659.492188,65235.839844,52.763000,26.919001,-0.016000,19.747000,9.885000,9.889000
169000,57867.906250,65882.460938,66123.851562,37.759998,69.606003,-0.023000,14.594334,27.978001,30.576000
170000,65866.398438,73637.687500,64828.859375,51.697666,57.917999,-0.018000,18.056334,20.243999,20.230000
171000,57025.656250,60148.730469,71117.976562,26.349335,63.320000,-0.018000,9.804333,23.719000,24.028999
172000,69683.718750,65223.929688,58314.648438,48.802334,57.880001,-0.017000,17.589666,20.485001,20.549000
173000,68871.335938,76329.312500,76223.367188,27.603668,26.834999,-0.011000,10.086333,9.961000,9.922000
174000,64840.074219,73984.609375,68356.734375,30.978998,28.223000,-0.016000,11.553333,10.037000,10.379000
175000,63878.250000,75502.421875,63008.882812,27.122002,29.339001,-0.015000,10.082000,20.802999,20.900999
176000,63337.968750,63546.542969,68651.164062,49.540665,67.713997,-0.019000,17.877001,24.308001,24.365999
177000,76686.554688,86027.703125,74009.218750,40.750332,27.437000,-0.009000,15.179000,10.135000,10.056000
178000,77636.148438,79397.609375,76669.156250,54.777332,30.576000,-0.011000,19.289335,11.224000,11.252000
179000,70065.195312,79563.687500,83198.343750,53.372665,67.056000,-0.020000,19.695000,24.878000,26.108999
180000,76175.132812,66284.195312,68446.562500,45.182999,28.597000,-0.011000,17.195333,19.641001,19.049000
181000,72124.773438,66878.742188,67893.914062,30.103333,28.820999,-0.015000,11.067333,10.829000,10.615000
182000,65556.992188,71904.500000,70195.820312,28.233999,53.563000,-0.021000,10.317666,19.184999,19.521999
183000,68766.617188,68234.789062,77950.570312,33.210335,29.493999,-0.012000,13.233334,10.795000,11.186000
184000,70347.960938,59104.617188,65651.781250,69.920006,48.137001,-0.013000,25.942001,24.146999,23.792000
185000,75808.179688,78245.335938,85726.179688,61.306000,28.688000,-0.012000,22.388000,10.478000,10.445000
186000,73472.796875,75605.968750,72662.304688,32.563667,33.116001,-0.013000,16.250334,10.560000,10.541000
187000,71767.179688,77893.742188,76102.468750,28.680666,28.985001,-0.013000,10.974334,10.533000,10.519000
188000,80044.281250,71870.242188,73484.648438,50.184330,29.271000,-0.012000,18.906000,10.569000,10.574000
189000,72936.531250,90554.015625,86633.765625,40.519337,64.814003,-0.018000,14.828334,35.528000,14.545000
190000,78125.914062,78770.687500,76149.742188,42.305668,72.968002,-0.021000,16.749666,26.929001,26.805000
191000,88527.125000,85429.445312,79904.882812,60.342999,67.589996,-0.021000,22.039000,25.098000,13.567000
192000,86024.062500,77481.007812,86962.179688,30.347666,71.967003,-0.021000,10.795001,26.327000,26.268000
193000,85695.968750,88339.710938,95202.804688,44.883667,37.335999,-0.014000,17.874666,14.465000,13.581000
194000,81318.945312,77231.234375,85686.281250,44.079998,30.809999,-0.011000,16.594332,10.856000,10.867000
195000,87406.031250,80357.187500,89222.789062,56.410999,29.746000,-0.009000,20.582666,11.247000,10.911000
196000,71709.601562,88453.382812,93140.914062,45.494671,30.507999,-0.012000,16.773666,11.002000,11.049000
197000,87080.320312,99573.015625,87217.375000,46.996662,30.173000,-0.012000,17.107000,11.386000,11.439000
198000,87586.476562,82869.156250,86140.406250,54.502666,58.889000,-0.016000,20.524000,22.452999,22.257999
199000,88917.320312,70214.359375,93288.210938,43.860332,77.348000,-0.020000,15.689332,37.893002,32.994999
200000,90569.187500,84893.890625,113208.890625,66.203003,31.021000,-0.012000,24.515001,11.461000,11.465000
201000,95862.570312,96646.218750,87000.078125,46.146332,32.040001,-0.012000,17.197666,11.682000,11.592000
202000,84689.843750,101489.101562,92009.843750,48.727337,90.515999,-0.025000,19.348333,30.563000,29.346001
203000,96677.718750,89532.320312,92383.445312,76.527664,34.986000,-0.011000,23.599998,11.906000,12.022000
204000,92776.101562,94287.054688,86516.890625,43.395336,31.844999,-0.013000,16.147333,12.228000,11.653000
205000,101095.023438,92667.507812,99151.898438,32.142002,32.441002,-0.014000,12.041000,11.756000,11.809000
206000,102157.062500,94674.312500,98469.179688,72.828331,80.015999,-0.021000,30.093666,29.107000,29.004999
207000,101546.351562,100464.703125,95832.187500,49.438663,32.226002,-0.014000,18.354000,11.883000,11.857000
208000,91230.914062,95273.757812,95644.742188,32.440998,39.363998,-0.016000,11.944333,27.193001,19.226000
209000,97172.335938,106411.539062,93717.250000,48.028667,75.529999,-0.022000,17.925333,29.989000,30.839001
210000,98019.125000,105626.453125,96308.867188,33.784000,78.838997,-0.020000,14.239333,28.980000,27.202000
211000,102043.664062,102558.718750,114461.546875,50.250336,35.411999,-0.012000,17.361334,12.112000,13.284000
212000,104530.625000,95161.312500,99035.437500,56.243999,85.561996,-0.024000,20.490334,30.006001,29.763000
213000,97740.789062,92579.695312,106297.296875,49.397335,32.928001,-0.012000,18.228666,12.286000,12.196000
214000,100480.625000,110206.414062,99696.351562,70.972336,33.951000,-0.012000,29.077332,12.289000,12.809000
215000,92868.531250,100159.593750,108172.507812,37.432003,33.540001,-0.012000,19.360666,12.232000,12.279000
216000,96564.851562,104615.742188,97518.500000,57.305332,34.216000,-0.012000,21.183332,29.188999,30.860001
217000,103538.218750,115183.851562,101284.562500,81.531006,36.275002,-0.013000,29.343332,12.200000,12.241000
218000,99995.476562,102916.765625,105743.289062,76.918335,76.356003,-0.025000,28.457331,28.101999,27.700001
219000,104030.187500,100369.046875,109265.187500,53.015667,86.292000,-0.020000,19.328333,30.584999,30.566999
220000,102741.179688,103085.820312,97742.640625,62.836670,91.987999,-0.024000,26.264666,31.865999,37.112999
221000,109492.281250,106806.304688,100551.195312,52.682667,34.313000,-0.014000,19.343332,19.607000,12.484000
222000,106669.757812,116395.796875,116950.328125,35.084000,59.575001,-0.015000,12.813667,12.710000,12.687000
223000,111995.585938,113748.273438,113546.882812,46.097668,39.721001,-0.015000,15.025332,12.704000,12.591000
224000,116525.937500,116623.195312,113490.507812,70.695000,37.674999,-0.012000,24.424667,13.617000,13.634000
